,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,0.7958,0.8015,0.8168,0.7872,592675.6,738526.0,0.8436,0.7633
2005-01-05,0.7968,0.8226,0.8293,0.7948,722853.71,884174.0,0.8417,0.7614
2005-01-06,0.8274,0.8226,0.8494,0.8226,1774375.52,2122003.0,0.8637,0.7815
2005-01-07,0.8226,0.8455,0.8513,0.8226,1496013.97,1774403.0,0.8637,0.7815
2005-01-10,0.8876,0.8876,0.8876,0.8876,1731759.36,1948229.0,0.8876,0.8034
2005-01-11,0.9316,0.9316,0.9316,0.9316,3878243.98,4156968.0,0.9316,0.8436
2005-01-12,0.9785,0.9785,0.9785,0.9479,32221088.06,33126245.0,0.9785,0.8848
2005-01-13,0.989,0.9766,1.0187,0.9661,16192916.24,16391259.0,1.0273,0.9297
2005-01-14,0.9689,0.9766,1.0005,0.9498,10701374.42,11008771.0,1.0254,0.9278
2005-01-17,0.9555,0.9297,0.989,0.9278,9919128.91,10464941.0,1.0254,0.9278
2005-01-18,0.9134,0.9766,0.9766,0.9134,11618891.4,12107560.0,0.9766,0.8828
2005-01-19,1.011,0.9995,1.0254,0.9804,15895538.58,15792296.0,1.0254,0.9278
2005-01-20,0.9938,1.0311,1.0483,0.9594,13157014.27,13017720.0,1.0493,0.9498
2005-01-21,1.033,1.0674,1.077,1.0234,21371776.12,20251742.0,1.0827,0.9794
2005-01-24,1.0808,1.0694,1.1095,1.033,16216033.54,15265462.0,1.121,1.0139
2005-01-25,1.054,1.122,1.1229,1.033,13843314.41,12736017.0,1.1229,1.0158
2005-01-26,1.121,1.1086,1.1382,1.0923,14023009.49,12562337.0,1.1784,1.0655
2005-01-27,1.0923,1.0933,1.1095,1.0627,9360320.75,8596849.0,1.164,1.0531
2005-01-28,1.0646,1.0933,1.1334,1.0646,10478970.34,9475198.0,1.1478,1.0387
2005-01-31,1.0732,1.0387,1.1009,1.0387,5793141.48,5474318.0,1.1478,1.0387
2005-02-01,1.0053,0.9871,1.0397,0.9871,7836479.05,7785651.0,1.0904,0.9871
2005-02-02,0.9584,1.0292,1.0359,0.9374,9190755.96,9401230.0,1.0368,0.9374
2005-02-03,1.0483,1.0005,1.0655,0.9852,8907484.79,8695246.0,1.0808,0.9775
