,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,1.334,1.3106,1.334,1.3029,2805198.6,2086704.0,1.4662,1.2017
2005-01-05,1.3223,1.334,1.3573,1.3106,2767716.94,2036331.0,1.4429,1.1784
2005-01-06,1.334,1.3262,1.3573,1.3223,2134002.2,1570103.0,1.4662,1.2017
2005-01-07,1.3145,1.3534,1.3806,1.3029,5542722.19,4034404.0,1.4584,1.194
2005-01-10,1.3612,1.3884,1.3884,1.3534,12742565.98,9080979.0,1.4895,1.2173
2005-01-11,1.3923,1.3845,1.3962,1.3651,4151280.52,2952909.0,1.5284,1.2484
2005-01-12,1.3923,1.3651,1.3923,1.3456,3290686.2,2365874.0,1.5245,1.2445
2005-01-13,1.3651,1.3845,1.3923,1.3495,4701147.98,3365873.0,1.5012,1.229
2005-01-14,1.369,1.3534,1.3845,1.3495,3337474.72,2399641.0,1.5245,1.2445
2005-01-17,1.3379,1.3417,1.3456,1.3184,3685546.5,2709669.0,1.4895,1.2173
2005-01-18,1.3301,1.3456,1.3534,1.3262,2139688.76,1570113.0,1.4779,1.2095
2005-01-19,1.3495,1.334,1.3495,1.3262,2004598.19,1473691.0,1.4817,1.2095
2005-01-20,1.3223,1.3184,1.3301,1.2756,5392672.17,4052340.0,1.4662,1.2017
2005-01-21,1.3417,1.3534,1.3534,1.3067,11078281.08,8136316.0,1.4506,1.1862
2005-01-24,1.3923,1.3767,1.3962,1.3534,7382017.24,5263092.0,1.4895,1.2173
2005-01-25,1.3729,1.3612,1.3729,1.3456,4234220.5,3056087.0,1.5129,1.2406
2005-01-26,1.3612,1.334,1.3612,1.3301,2490037.05,1808975.0,1.4973,1.2251
2005-01-27,1.3379,1.334,1.3534,1.3262,2118297.4,1550367.0,1.4662,1.2017
2005-01-28,1.3223,1.3067,1.3456,1.3029,2798148.91,2088510.0,1.4662,1.2017
2005-01-31,1.3029,1.2601,1.3029,1.2523,4312142.82,3323032.0,1.439,1.1745
2005-02-01,1.2601,1.2912,1.3067,1.2367,7434773.68,5696820.0,1.3845,1.1356
2005-02-02,1.2912,1.3534,1.3573,1.2873,13507609.41,9953580.0,1.4195,1.1628
2005-02-03,1.3573,1.3495,1.3612,1.3106,7122004.11,5228764.0,1.4895,1.2173
2005-02-04,1.334,1.3651,1.3729,1.3145,10580179.02,7630419.0,1.4856,1.2134
2005-02-16,1.4079,1.3806,1.4312,1.3729,20999209.59,14797608.0,1.5012,1.229
2005-02-17,1.3962,1.3651,1.3962,1.3417,11247762.12,8119077.0,1.5206,1.2445
2005-02-18,1.3651,1.3379,1.369,1.3379,3706286.88,2692644.0,1.5012,1.229
2005-02-21,1.3417,1.3534,1.369,1.334,4509404.62,3263768.0,1.4701,1.2056
2005-02-22,1.3573,1.3806,1.3845,1.3573,10089296.26,7193203.0,1.4895,1.2173
2005-02-23,1.3923,1.4001,1.4234,1.3651,17482523.27,12244573.0,1.5206,1.2445
2005-02-24,1.3923,1.3845,1.3923,1.3651,9160957.26,6503904.0,1.5401,1.2601
2005-02-25,1.3729,1.3767,1.404,1.3729,9914115.97,6988743.0,1.5245,1.2445
2005-02-28,1.369,1.3573,1.3845,1.3534,7203447.19,5162379.0,1.5129,1.2406
2005-03-01,1.3573,1.3417,1.3651,1.334,6912098.77,5025137.0,1.4934,1.2212
2005-03-02,1.3417,1.3262,1.3534,1.3223,5745029.66,4201842.0,1.4779,1.2095
2005-03-03,1.3262,1.3379,1.3379,1.3145,4282253.17,3167293.0,1.4584,1.194
2005-03-04,1.3417,1.3184,1.3417,1.3145,3347983.8,2471497.0,1.4701,1.2056
2005-03-07,1.3145,1.3262,1.3301,1.3145,3454465.89,2557623.0,1.4506,1.1862
2005-03-08,1.3223,1.3417,1.3456,1.3223,4181226.06,3068768.0,1.4584,1.194
2005-03-09,1.3417,1.3262,1.3534,1.3145,5419314.73,3992635.0,1.4779,1.2095
2005-03-10,1.3223,1.2873,1.3223,1.2873,6358043.96,4765635.0,1.4584,1.194
2005-03-11,1.2795,1.2834,1.2951,1.2678,6221319.14,4761838.0,1.4156,1.159
2005-03-14,1.2834,1.264,1.2834,1.2523,5831829.45,4516838.0,1.4117,1.1551
2005-03-15,1.264,1.2523,1.2717,1.2445,5119285.66,4003508.0,1.3923,1.1395
2005-03-16,1.2445,1.264,1.264,1.2445,4080957.15,3198063.0,1.3767,1.1278
2005-03-17,1.2562,1.194,1.2562,1.1901,7454665.28,5979364.0,1.3923,1.1395
2005-03-18,1.1901,1.1123,1.1901,1.0928,14032192.89,12241838.0,1.3145,1.0734
2005-03-21,1.0967,1.124,1.124,1.0928,5588888.17,4906312.0,1.2251,0.9995
2005-03-22,1.124,1.0423,1.1278,1.0423,8919099.32,8156538.0,1.2367,1.0112
2005-03-23,1.0384,1.0501,1.0773,1.0306,6160743.58,5711636.0,1.1473,0.9373
2005-03-24,1.0462,1.0773,1.0928,1.0345,5760538.07,5263885.0,1.1551,0.9451
2005-03-25,1.0773,1.0734,1.0851,1.0578,3372024.9,3078039.0,1.1862,0.9684
2005-03-28,1.0734,1.0617,1.0773,1.0306,3702765.39,3462187.0,1.1823,0.9645
2005-03-29,1.0617,1.0578,1.0734,1.0501,2908761.85,2683955.0,1.1667,0.9567
2005-03-30,1.0501,1.0773,1.159,1.0228,15599573.72,13965581.0,1.1628,0.9528
2005-03-31,1.0656,1.1084,1.1162,1.0501,11080776.29,9929225.0,1.1862,0.9684
2005-04-01,1.1084,1.124,1.1356,1.0812,11298171.2,9962728.0,1.2212,0.9995
2005-04-04,1.1201,1.0928,1.1201,1.0812,5880474.19,5239511.0,1.2367,1.0112
2005-04-05,1.0851,1.1045,1.1434,1.0812,9965308.81,8691465.0,1.2017,0.9839
2005-04-06,1.0812,1.0967,1.1045,1.0734,6396930.33,5763084.0,1.2134,0.9956
2005-04-07,1.0928,1.1512,1.1745,1.0812,22345334.92,19234356.0,1.2056,0.9878
2005-04-08,1.159,1.2056,1.2056,1.1551,29896786.44,24742471.0,1.2678,1.0345
2005-04-11,1.2017,1.1784,1.2251,1.1706,16221705.39,13360877.0,1.3262,1.0851
2005-04-12,1.1784,1.1628,1.1978,1.159,9189962.07,7663286.0,1.2951,1.0617
2005-04-13,1.1628,1.1784,1.2017,1.1628,9231546.88,7664442.0,1.2795,1.0462
2005-04-14,1.1784,1.1162,1.194,1.1123,11230135.52,9636841.0,1.2951,1.0617
2005-04-15,1.1084,1.0812,1.1123,1.0773,5865287.6,5273479.0,1.229,1.0034
2005-04-18,1.0812,1.0889,1.0889,1.0578,4553303.85,4182030.0,1.1901,0.9723
2005-04-19,1.0967,1.0656,1.1006,1.0462,4419097.91,4041341.0,1.1978,0.9801
2005-04-20,1.0617,1.0112,1.0617,1.0034,8646722.64,8159721.0,1.1706,0.9606
2005-04-21,1.0112,1.0151,1.0384,1.0073,5255825.14,5036919.0,1.1123,0.9101
2005-04-22,1.0151,0.9839,1.0306,0.9684,6016748.03,5945952.0,1.1162,0.9139
2005-04-25,0.9801,0.9606,0.9839,0.9373,5370203.48,5531890.0,1.0812,0.8867
2005-04-26,0.9606,0.9995,1.0112,0.9606,4153994.93,4105032.0,1.0578,0.8634
2005-04-27,1.0112,0.9878,1.0112,0.9839,2787544.45,2747079.0,1.1006,0.8984
2005-04-28,0.9917,1.0423,1.0617,0.9528,8358009.27,8093132.0,1.0851,0.8906
2005-04-29,1.0306,1.0345,1.0656,1.0073,6623250.76,6255661.0,1.1473,0.9373
2005-05-09,1.0306,0.9839,1.0423,0.9801,4156856.6,4042207.0,1.1395,0.9295
